1;0.8414;0.8362;0.8337;0.8401;0.8039
1;0.9995;0.9891;0.9888;0.9978;0.9785
0.9988;1;0.9912;0.9899;0.9986;0.9811
0.9848;0.9995;0.9942;0.9934;1;0.9924
1;0.9898;0.9726;0.9732;0.9853;0.95
1;0.9932;0.9816;0.9817;0.9906;0.9668
0.995;1;0.9925;0.9913;0.9995;0.9854
0.9901;1;0.9897;0.9885;0.9977;0.9807
0.9737;0.9974;0.9961;0.9961;1;0.9977
