;standard,0.0,False;uniform-linf,0.02,False;uniform-linf,0.03,False;uniform-l0.5,100000.0,False;uniform-l0.5,200000.0,False;uniform-l1,40.0,False;uniform-l1,80.0,False;uniform-l2,1.0,False;uniform-l2,2.0,False;uniform-l50,0.1,False;uniform-l50,0.2,False;uniform-l0-impulse-max,0.01,True;uniform-l0-impulse-max,0.02,True;uniform-l0-impulse-linear,0.02,False;uniform-l0-impulse-linear,0.03,False;uniform-l0-impulse-linear,0.06,False
uniform-l2,4.0,False;44,962;71,268;81,78;71,89;88,038;68,38;87,492;67,4;87,978;69,756;88,976;68,366;68,592;77,292;81,092;84,776
uniform-l5,0.2,False;90,694;93,982;93,566;93,95;92,988;93,936;93,214;94,024;93,142;94,068;93,462;92,974;92,912;93,124;93,52;93,818
uniform-l5,0.4,False;75,038;90,194;92,378;90,144;92,676;89,406;92,758;89,488;92,986;89,86;92,98;84,584;84,602;87,732;89,482;91,312
uniform-l5,1.0,False;21,268;36,192;48,66;37,708;66,568;32,06;64,438;31,336;65,134;31,906;69,628;46,508;47,292;60,13;66,488;72,832
uniform-l10,0.06,False;94,224;94,142;93,58;94,246;92,884;94,206;93,106;94,292;93,014;94,508;93,402;94,606;94,49;94,64;94,6;94,492
uniform-l10,0.15,False;90,36;93,86;93,624;93,906;92,95;93,808;93,186;93,99;93,102;94,074;93,348;92,516;92,57;92,958;93,42;93,808
uniform-l10,0.3,False;72,88;89,366;92,036;89,29;92,494;88,526;92,704;88,392;92,666;88,87;92,814;83,654;83,728;87,166;89,178;90,948
uniform-l10,0.7,False;22,716;38,702;51,284;40,154;68,328;34,862;66,118;34,026;67,108;34,544;70,994;48,01;48,554;61,51;67,344;73,87
uniform-l50,0.05,False;94,354;94,204;93,548;94,206;92,876;94,266;93,06;94,272;92,974;94,486;93,428;94,678;94,55;94,638;94,626;94,51
uniform-l50,0.1,False;92,586;94,102;93,582;94,136;92,938;94,134;93,18;94,21;93,056;94,38;93,47;93,844;93,83;93,818;94,028;94,172
uniform-l50,0.2,False;83,862;92,82;93,324;92,808;92,954;92,426;93,18;92,656;93,08;92,762;93,236;89,372;89,314;90,664;91,712;92,818
uniform-l50,0.5,False;36,446;59,512;72,29;60,918;82,798;56,482;81,662;55,126;82,116;57,268;84,24;61,262;61,788;72,282;76,784;81,526
uniform-l200,0.1,False;92,55;94,126;93,68;94,136;92,982;94,102;93,144;94,19;93,052;94,314;93,394;93,766;93,774;93,764;94,052;94,248
uniform-l200,0.2,False;83,76;92,938;93,332;92,632;92,982;92,396;93,072;92,612;93,11;92,634;93,282;89,096;89,332;90,78;91,796;92,756
uniform-l200,0.5,False;36,23;59,458;72,196;60,534;82,432;56,094;81,574;54,758;82,026;56,94;83,958;61,25;61,738;72,154;76,598;81,418
uniform-l0-salt-pepper,0.01,True;77,26;78,69;80,048;79,116;81,95;80,326;82,348;79,104;81,702;80,3;82,686;92,276;93,496;92,856;93,108;94,178
uniform-l0-salt-pepper,0.02,True;54,11;59,046;63,644;59,068;68,646;61,762;68,47;59,99;67,126;61,556;68,832;88,116;91,928;89,908;90,734;93,538
uniform-l0-impulse-max,0.01,True;81,66;86,024;87,75;86,736;90,812;86,826;90,684;86,516;90,68;86,818;90,616;94,614;94,512;94,588;94,566;94,496
